id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,z_costcontact,z_revenue,response
5524,1957,graduation,single,58138.0,0,0,1333929600000000000,58,635,81,546,120.5,81,88.0,3,8,10,4,7,0,0,0,0,0,0,3,11,0
2174,1954,graduation,single,46344.0,1,1,1407024000000000000,38,11,1,6,2.0,1,6.0,2,1,1,2,5,0,0,0,0,0,0,3,11,0
4141,1965,graduation,together,71613.0,0,0,-9223372036854775808,26,426,49,127,111.0,21,42.0,1,8,2,10,4,0,0,0,0,0,0,3,11,0
6182,1984,graduation,together,26646.0,1,0,1412208000000000000,26,11,4,20,10.0,3,5.0,2,2,0,4,6,0,0,0,0,0,0,3,11,0
5324,1981,phd,married,58293.0,1,0,-9223372036854775808,94,173,43,118,46.0,27,15.0,5,5,3,6,5,0,0,0,0,0,0,3,11,0
7446,1967,master,together,62513.0,0,1,1378684800000000000,16,520,42,98,0.0,42,14.0,2,6,4,10,6,0,0,0,0,0,0,3,11,0
965,1971,graduation,divorced,55635.0,0,1,-9223372036854775808,34,235,65,164,50.0,49,27.0,4,7,3,7,6,0,0,0,0,0,0,3,11,0
6177,1985,phd,married,33454.0,1,0,1375660800000000000,32,76,10,56,3.0,1,23.0,2,4,0,4,8,0,0,0,0,0,0,3,11,0
4855,1974,phd,together,30351.0,1,0,1370476800000000000,19,14,0,24,3.0,3,2.0,1,3,0,2,9,0,0,0,0,0,0,3,11,0
5899,1950,phd,together,5648.0,1,1,-9223372036854775808,68,28,0,6,1.0,1,13.0,1,1,0,0,13,0,0,0,0,0,0,3,11,0
1994,1983,graduation,married,51381.5,1,0,-9223372036854775808,11,5,5,6,0.0,2,1.0,1,1,0,2,7,0,0,0,0,0,0,3,11,0
387,1976,basic,married,7500.0,0,0,-9223372036854775808,59,6,16,11,11.0,1,16.0,1,2,0,3,8,0,0,0,0,0,0,3,11,0
2125,1959,graduation,divorced,63033.0,0,0,-9223372036854775808,82,194,61,480,120.5,81,30.0,1,3,4,8,2,0,0,0,0,0,0,3,11,0
8180,1952,master,divorced,59354.0,1,1,-9223372036854775808,53,233,2,53,3.0,5,14.0,3,6,1,5,6,0,0,0,0,0,0,3,11,0
2569,1987,graduation,married,17323.0,0,0,1349827200000000000,38,3,14,17,6.0,1,5.0,1,1,0,3,8,0,0,0,0,0,0,3,11,0
2114,1946,phd,single,82800.0,0,0,-9223372036854775808,23,1006,22,115,59.0,68,45.0,1,7,6,12,3,0,0,0,0,0,0,3,11,0
9736,1980,graduation,married,41850.0,1,1,-9223372036854775808,51,53,5,19,2.0,13,4.0,3,3,0,3,8,0,0,0,0,0,0,3,11,0
4939,1946,graduation,together,37760.0,0,0,-9223372036854775808,20,84,5,38,120.5,12,28.0,2,4,1,6,7,0,0,0,0,0,0,3,11,0
6565,1949,master,married,76995.0,0,1,-9223372036854775808,91,1012,80,498,0.0,16,126.5,2,11,4,9,5,0,0,0,0,0,0,3,11,0
2278,1985,2n cycle,single,33812.0,1,0,1331424000000000000,86,4,17,19,30.0,24,39.0,2,2,1,3,6,0,0,0,0,0,0,3,11,0
9360,1982,graduation,married,37040.0,0,0,1344384000000000000,41,86,2,73,69.0,38,48.0,1,4,2,5,8,0,0,0,0,0,0,3,11,0
5376,1979,graduation,married,2447.0,1,0,1370044800000000000,42,1,1,556,1.0,1,1.0,6,0,10,0,1,0,0,0,0,0,0,3,11,0
1993,1949,phd,married,58607.0,0,1,-9223372036854775808,63,867,0,86,0.0,0,19.0,3,2,3,9,8,0,0,0,0,0,0,3,11,0
4047,1954,phd,married,65324.0,0,1,1414800000000000000,0,384,0,102,21.0,32,5.0,3,6,2,9,4,0,0,0,0,0,0,3,11,0
1409,1951,graduation,together,40689.0,0,1,-9223372036854775808,69,270,3,27,39.0,6,99.0,6,7,1,5,8,0,0,0,0,0,0,3,11,0
7892,1969,graduation,single,18589.0,0,0,1359676800000000000,89,6,4,25,15.0,12,13.0,2,2,1,3,7,0,0,0,0,0,0,3,11,0
2404,1976,graduation,married,53359.0,1,1,-9223372036854775808,4,173,4,30,3.0,6,41.0,4,5,1,4,7,0,0,0,0,0,0,3,11,0
5255,1986,graduation,single,51381.5,1,0,-9223372036854775808,19,5,1,3,3.0,81,126.5,0,12,0,0,1,0,0,0,0,0,0,3,11,0
9422,1989,graduation,married,38360.0,1,0,-9223372036854775808,26,36,2,42,20.0,21,10.0,2,2,1,4,3,0,0,0,0,0,0,3,11,0
1966,1965,phd,married,84618.0,0,0,-9223372036854775808,96,684,81,556,21.0,66,0.0,1,6,9,10,2,0,0,0,0,0,0,3,11,0
6864,1989,master,divorced,10979.0,0,0,-9223372036854775808,34,8,4,10,2.0,2,4.0,2,3,0,3,5,0,0,0,0,0,0,3,11,0
3033,1963,master,together,38620.0,0,0,1383609600000000000,56,112,17,44,34.0,22,89.0,1,2,5,3,3,0,0,0,0,0,0,3,11,0
5710,1970,graduation,together,40548.0,0,1,1349827200000000000,31,110,0,5,2.0,0,3.0,2,2,1,4,5,0,0,0,0,0,0,3,11,0
7373,1952,phd,divorced,46610.0,0,2,-9223372036854775808,8,96,12,96,33.0,22,43.0,6,4,1,6,6,0,0,0,0,0,0,3,11,0
8755,1946,master,married,68657.0,0,0,-9223372036854775808,4,482,34,471,119.0,68,22.0,1,3,5,9,7,0,0,0,0,0,0,3,11,0
10738,1951,master,single,49389.0,1,1,-9223372036854775808,55,40,0,19,2.0,1,3.0,1,2,0,3,7,0,0,0,0,0,0,3,11,0
4339,1970,phd,married,67353.0,0,1,-9223372036854775808,37,702,17,151,0.0,8,35.0,5,5,6,12,2,0,0,0,0,0,0,3,11,0
10755,1976,2n cycle,married,23718.0,1,0,1360368000000000000,76,6,3,14,15.0,7,36.0,3,3,1,2,7,0,0,0,0,0,0,3,11,0
8595,1973,graduation,widow,42429.0,0,1,1414886400000000000,99,55,0,6,2.0,0,4.0,2,1,1,3,5,0,0,0,0,0,0,3,11,0
2968,1943,phd,divorced,48948.0,0,0,1357084800000000000,53,437,8,206,120.5,49,42.0,2,7,10,5,6,0,0,0,0,0,0,3,11,0
8601,1980,graduation,married,80011.0,0,1,-9223372036854775808,3,421,76,536,82.0,81,102.0,2,8,6,5,4,0,0,0,0,0,0,3,11,0
503,1985,master,married,20559.0,1,0,1386028800000000000,88,13,1,29,3.0,0,7.0,2,2,0,3,8,0,0,0,0,0,0,3,11,0
8430,1957,graduation,together,21994.0,0,1,-9223372036854775808,4,9,0,6,3.0,1,3.0,1,0,0,3,5,0,0,0,0,0,0,3,11,0
7281,1959,phd,single,51381.5,0,0,1368230400000000000,80,81,11,50,3.0,2,39.0,1,1,3,4,2,0,0,0,0,0,0,3,11,0
2139,1975,master,married,7500.0,1,0,1360454400000000000,19,3,1,10,3.0,2,12.0,3,2,0,3,5,0,0,0,0,0,0,3,11,0
1371,1976,graduation,single,79941.0,0,0,-9223372036854775808,72,123,81,266,120.5,30,126.5,1,2,4,9,1,0,0,0,0,0,0,3,11,0
9909,1996,2n cycle,married,7500.0,0,0,1347321600000000000,24,3,18,14,15.0,22,50.0,3,3,1,3,9,0,0,0,0,0,0,3,11,0
7286,1968,graduation,together,41728.0,1,0,-9223372036854775808,92,13,6,15,3.0,5,13.0,1,2,0,2,10,0,0,0,0,0,0,3,11,0
7244,1951,graduation,single,51381.5,2,1,1388534400000000000,96,48,5,48,6.0,10,7.0,3,2,1,4,6,0,0,0,0,0,0,3,11,0
6566,1954,phd,married,72550.0,1,1,1344643200000000000,39,826,50,317,50.0,38,38.0,6,5,2,12,8,0,0,0,0,0,0,3,11,0
8614,1957,graduation,widow,65486.0,0,1,1417737600000000000,29,245,19,125,37.0,67,14.0,1,4,2,10,2,0,0,0,0,0,0,3,11,0
4114,1964,master,married,79143.0,0,0,1352332800000000000,2,650,37,556,27.0,81,32.0,1,6,9,13,3,0,0,0,0,0,0,3,11,0
1331,1977,graduation,single,35790.0,1,0,1359676800000000000,54,12,6,20,30.0,1,3.0,2,2,0,3,7,0,0,0,0,0,0,3,11,0
2225,1977,graduation,divorced,82582.0,0,0,1404604800000000000,54,510,81,550,120.5,40,126.5,1,4,9,7,1,0,0,0,0,0,0,3,11,0
9381,1978,graduation,married,66373.0,1,1,1386288000000000000,57,328,9,124,12.0,24,109.0,6,4,2,10,3,0,0,0,0,0,0,3,11,0
